rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,3,1/33/001/000003/000044/003,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,108/25,28.801944,77.024722,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3716,2973,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,POOTH KHURD,NA,NA,1,1/33/001/000003/000060/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,135,28.770833,77.050556,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,12246,9797,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,WEST,PUNJABI BAGH,HIRAN KUDNA,NA,NA,1,1/33/007/000020/000282/001,Shiv Mandir,NA,NA,Ponds,NA,Kh. No. 134,28.672500,76.996389,DPAP,Other Govt.Agency,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0.37,3,12000,9000,Upto 3/4,Filled up every year,NA,1,1000,No,NA,NA,No,No,NA,NA,Religious,Other
Rural,DELHI,NORTH WEST,KANJHAWLA,BUDHAN PUR MAJRA,NA,NA,1,1/33/003/000007/000092/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,Oct-24,28.770000,77.005278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,13226,1058138,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BARWALA,NA,NA,1,1/33/001/000003/000067/001,Village Barwala Water Body,NA,NA,Ponds,NA,35/12,28.755556,77.069722,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4800,1200,Upto 3/4,Rarely filled up,1,1,112000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,ALIPUR,SHAHBAD DAULAT PUR,NA,NA,2,1/33/001/000001/000019/002,Shahbad Daulatpur Vacant Land,NA,NA,Others,Vacant Land,128,28.749444,77.106389,Others,Panchayat,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,SALAHPUR MAJRA,NA,NA,1,1/33/003/000007/000106/001,Near Shamshan Ghat,Ganga Basin,Yamuna Upper,Ponds,NA,"20/12, 20/13, 20/14",28.771111,76.992500,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,25041,20032,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,SULTANPUR DABAS,NA,NA,1,1/33/001/000003/000063/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,35/37,28.768611,77.041389,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7245,5796,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,2,1/33/003/000008/000111/002,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,77/2,28.712222,77.045000,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BANKNER,NA,NA,7,1/33/001/000003/000043/007,Village Bankner Well ,Ganga Basin,Yamuna Middle,Others,Well,32/29/0-6,28.852778,77.076111,Others,Panchayat,No,NA,NA,NA,Construction,Natural,NA,NA,NA,2016,90000,No,NA,NA,NA,NA,NA,NA,0.1,3,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,BANKNER,NA,NA,8,1/33/001/000003/000043/008,Village Bankner Rambala Well,Ganga Basin,Yamuna Middle,Others,Well,10/26 (0-4),28.853056,77.078889,Others,Panchayat,No,NA,NA,NA,Construction,Natural,NA,NA,NA,2013,115000,No,NA,NA,NA,NA,NA,NA,1.05,3,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,LAM PUR,NA,NA,7,1/33/001/000003/000053/007,Village Lampur Aashriya waala,Ganga Basin,Yamuna Lower,Ponds,NA,54(0-5),28.849167,77.059722,Others,Panchayat,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,2010,450000,No,NA,NA,NA,NA,NA,NA,0.462,4,6000,5500,Nil/Negligible filled up,Never filled up,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,4,1/33/001/000003/000044/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,203,28.802778,77.035278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7094,5675,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,5,1/33/001/000003/000044/005,NA,Ganga Basin,Yamuna Upper,Ponds,NA,130/4min,28.798611,77.040556,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3979,3183,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,POOTH KHURD,NA,NA,2,1/33/001/000003/000060/002,Near Balmiki Hospital,Ganga Basin,Yamuna Upper,Ponds,NA,136/2 OLD 157 NEW,28.776111,77.046667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,66955,53564,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BAJIT PUR THAKRAN,NA,NA,1,1/33/001/000003/000042/001,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,"22/4,5",28.805556,76.998056,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,31414,25131,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BAJIT PUR THAKRAN,NA,NA,2,1/33/001/000003/000042/002,NA,Ganga Basin,Yamuna Upper,Ponds,NA,"30/9/1, 10",28.794722,77.000833,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5702,4562,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,SULTANPUR DABAS,NA,NA,3,1/33/001/000003/000063/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,96/1/1,28.766944,77.027778,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,62370,49896,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
